taxon,rank
Amblystoma,genus
Syrrhophus,genus
Oceanodroma,genus
Hapalocrex,genus
Melopyrrha,genus
Chroicocephalus,genus
Homo,genus
Insulacebus,genus
Jacchus,genus
Liomys,genus
Prodipodomys,genus
Mictomys,genus
Hesperomys,genus
Proischyromys,genus
Nesophontes,genus
Sagmatias,genus
Pekania,genus
Caretta,genus
Chelonia,genus
Lytoloma,genus
Tinosaurus,genus
Dicamptodontidae,family
Chamaeidae,family
Trichechinae,family
NO_FAMILY_SPECIFIED,family
Zapodidae,family
Aplodontidae,family
Hesperomyidae,family
Ischyromyidae,family
Nesophontidae,family
Cheloniidae,family
Crotalidae,family
Dipsadidae,family
